pmid,title,abstract,year
41923632,A lightweight TcrLM model predicts T cell receptor and epitope binding specificity.,"Immune responses depend on specific interactions between T cell receptors (TCRs) and peptides presented by antigen-presenting cells (APCs). The vast diversity of the TCR repertoire makes accurate prediction of TCR-antigen binding specificity highly challenging. Here, we present a lightweight, masked language model, tcrLM, to address this problem. We pretrain tcrLM on a large-scale TCR CDR3 sequence dataset and use the pretrained encoder to extract informative features for pTCR binding prediction. tcrLM achieves competitive performance on hold-out and external test sets and shows comparatively robust zero-shot generalization relative to several baselines on a large, unseen-COVID-19 peptide set. The model effectively captures biochemical properties and positional preferences of amino acids within TCR sequences. In an exploratory melanoma cohort, the predicted TCR-neoantigen binding scores correlate with immunotherapy response and clinical outcomes. These results highlight the potential of tcrLM for advancing immunotherapy and personalized medicine.",2026
41912936,Longitudinal omics reveals immune repertoire remodeling in myasthenia gravis patients post-tacrolimus therapy.,"Myasthenia gravis (MG) is a T/B cell-driven autoimmune disease. The immunomodulatory mechanisms of the common immunosuppressant tacrolimus (TAC) on the immune repertoire are unclear. This study investigated TAC's immunomodulatory effects via high-throughput sequencing of peripheral blood mononuclear cells from four MG patients pre- and post-four months of TAC monotherapy, revealing dynamic T-cell receptor (TCR) and B-cell receptor (BCR) repertoire remodeling. The immune repertoire of MG patients was characterized by a skewed usage of TRBV gene families compared to healthy controls, indicating an underlying immune dysfunction. Longitudinal analysis post-TAC therapy revealed potential downregulation of IGHV1-69 and IGHV3-43 gene frequencies (p < 0.05, FDR > 0.1), alongside non-significant trends toward shorter CDR3 lengths and reduced clonal diversity in both IGH and TRB (p > 0.05). The BCR repertoire underwent greater dynamic remodeling, while the TCR repertoire remained relatively stable, as evidenced by the persistence of dominant clones and overlapping TRB clones. BCR diversity and V or J gene usage in TCR and BCR showed potential associations with clinical severity. These data reveal skewed antigen recognition profiles in MG pathogenesis, with TAC orchestrating multimodal immunomodulation through peripheral immune repertoire reshaping.",2026
41912268,Systemic immune profiling uncovers divergent mechanisms and predictive biomarkers of response to combination immunotherapies in hepatocellular carcinoma.,"Combination immunotherapies such as atezolizumab plus bevacizumab (Atez/Bev) and durvalumab plus tremelimumab (Dur/Tre) improve outcomes in advanced hepatocellular carcinoma (HCC), yet systemic immune mechanisms underlying response remain incompletely defined.",2026
41898550,Single-Cell Multi-Tissue T Cell Clonal Dynamics Reveal Distinct Immune Coercion Landscapes in MSI and MSS Colorectal Cancer.,"The efficacy of immunotherapy in colorectal cancer (CRC) has long been considered to be closely associated with microsatellite instability (MSI) status. Patients with microsatellite stable (MSS) tumors typically exhibit poor responses to PD-1/PD-L1 inhibitors and a poor prognosis, often being categorized as immunologically 'cold' tumors. However, some MSS patients can still achieve favorable therapeutic responses, sometimes even surpassing those of certain MSI patients. Immune-cold and immune-hot tumor phenotypes are largely determined by the abundance, clonal expansion, and functional states of tumor-infiltrating T cells. This suggests that immunotherapy responses are driven by dynamic remodeling of T-cell clonality rather than by MSI status alone. To elucidate the underlying T cell clonal dynamics, integrated single-cell transcriptome (scRNA-seq) and T cell receptor sequencing (scTCR-seq) data analyses from 43 blood and tissue samples of MSI and MSS colorectal cancer patients before and after anti-PD-1 therapy were performed. Using our developed TCR reconstruction pipeline (TORBiT), we systematically analyzed the clonal architecture of the TCR repertoire, inter-tissue migration, and its association with T-cell functional state transitions. From a TCR clonal kinetic perspective, we revealed two distinct modes of immune Coercion that may further affect the immune response: a ""high-fluctuation, deep-exhaustion"" pattern in MSI tumors and a ""high-baseline, strong-suppression"" pattern in MSS tumors. These findings provide a novel theoretical foundation and research perspective for understanding the responsiveness and resistance mechanisms to immune checkpoint inhibitors.",2026
41895287,Multi-omics reveal vitamin D regulation of immune-gut microbiome interactions and tolerogenic pathways in inflammatory bowel disease.,"Loss of immune tolerance to the gut microbiome plays a pathogenic role in inflammatory bowel disease (IBD). How dietary factors alter host immune-gut microbiome interactions in IBD is unclear. Here, we apply multi-omics (immunoglobulin A or G and 16S rRNA sequencing [IgA-seq, IgG-seq], blood single-cell RNA sequencing [scRNA-seq], and immune repertoire sequencing) to investigate the effects of 12 weeks of vitamin D on host immune microbe interactions in patients with IBD. Vitamin D treatment associates with decreased disease activity and inflammatory markers and increased IgA-bound and decreased IgG-bound gut microbiota. Vitamin D alters the profiles of IgA-bound (increased Lachnospiraceae, Blautia) and IgG-bound (decreased Proteobacteria, Enterococcaceae) gut bacteria. Vitamin D increases B cell activating factor (BAFF) signaling between plasmacytoid dendritic cells and B cells, alters BCR and TCR clonotypes that associate with Ig-bound gut microbiota, and increases α4β7+ B and T regulatory cells. Our results demonstrate that vitamin D promotes immune tolerance to gut microbiota in patients with IBD. Clinical trial is registered under NCT04828031.",2026
41894441,Contrasting effects of SARS-CoV-2 vaccination vs. infection on antibody and TCR repertoires.,"Antibodies and helper T cells play important roles in SARS-CoV-2 infection and vaccination. We sequenced B- and T-cell receptor repertoires (BCR/TCR) from the blood of 251 infectees, vaccinees, and controls to investigate whether features of these repertoires could predict subjects' SARS-CoV-2 neutralizing antibody titer (NAbs), as measured by enzyme-linked immunosorbent assay (ELISA). We sequenced recombined immunoglobulin heavy-chain (IGH), TCRβ (TRB), and TCRδ (TRD) genes in parallel from all subjects, including select B- and T-cell subsets in most cases, with a focus on their hypervariable CDR3 regions, and correlated this AIRRseq data with demographics and clinical findings from subjects' electronic health records. We found that age affected NAb levels in vaccinees but not infectees. Intriguingly, we found that vaccination and infection are associated with longer non-productively recombined IGHs, suggesting an effect that precedes clonal selection. We found that TRB repertoires' binding capacity to known SARS-CoV-2-specific CD4+ TRBs performs as well as the best hand-tuned approximate or ""fuzzy"" matching at predicting a protective level of NAbs, while also being more robust to repertoire sample size and not requiring hand-tuning. The overall conclusion from this large, unbiased, clinically well annotated dataset is that B- and T-cell adaptive responses to SARS-CoV-2 infection and vaccination are surprising, subtle, and diffuse. We discuss methodological and statistical challenges faced in attempting to define and quantify such strong-but-diffuse repertoire signatures and present tools and strategies for addressing these challenges.",2026
41890765,"Identification of a TCR signature in peripheral blood derived CD4+ T cells, associated with chronic chikungunya disease, suggests a conducive, female-biased, background immune profile.",Chronic chikungunya disease (CCD) is characterized by persistent inflammatory joint pains following acute chikungunya virus (CHIKV) infection in about half of the patients . CD4,2026
41889800,Transcriptional landscape of CD4+ T cells in Systemic Sclerosis.,"This resource deeply characterizes the CD4+ T cell subpopulations populations in SSc patients, with a novel single-cell RNA sequencing (scRNA-seq) approach, offering unprecedented insights into the cellular and molecular underpinnings of the disease.",2026
41889691,Personalized medicine in triple-negative breast cancer: combining neoantigen vaccination and genomic profiling in a patient undergoing neoadjuvant chemotherapy.,"Triple-negative breast cancer (TNBC) is an aggressive subtype of breast cancer with the poorest prognosis among all breast cancer subtypes. The limited effectiveness of first-line treatments, such as systemic neoadjuvant chemotherapy (NAC) and surgery, underscores the urgent need for alternative therapeutic strategies. Next-generation sequencing (NGS) has revolutionized precision oncology by enabling the identification of tumor-specific neoantigens for personalized vaccines and the profiling of actionable mutations for targeted treatments. However, the application of these approaches in TNBC, particularly in the context of NAC, remains largely unexplored.",2025
41874978,GATTCR: A Graph Attention Network with Multi-Feature Fusion for Peripheral Blood TCR Repertoire Classification.,"T cell receptor (TCR) repertoire profiling provides a promising avenue for noninvasive disease diagnostics by capturing immune signatures directly from peripheral blood. However, the high diversity and sparsity of TCR sequences pose significant challenges for robust immune state classification. In this work, we propose GATTCR, a novel framework that integrates Graph Attention Networks (GATs) with multi-feature fusion to model complex dependencies within TCR repertoires. By representing TCRs as graph nodes and incorporating biological priors-such as sequence embeddings, structural similarity, V gene usage, and clonal frequency-GATTCR enables context-aware, structure-informed representation learning. We evaluate GATTCR across a comprehensive panel of cancer and infectious disease datasets, demonstrating consistent improvements over existing methods. Notably, GATTCR achieves AUROC gains of up to +47.9% under few-shot learning scenarios, highlighting its ability to generalize from limited labeled data. Ablation studies further confirm the critical role of graph-based modeling and immunological features in driving performance gains. Overall, GATTCR offers a scalable approach for TCR repertoire analysis and paves the way for routine, noninvasive immune monitoring in precision medicine.",2026
41872507,Tissue-restricted secondary TCR engagement drives the transition from stem-like to CD200,Excessive activation of interleukin-17-producing helper T (T,2026
41853740,The T-cell receptor repertoire of wild mice.,"Wild animals live in a pathogen-rich environment and are normally infected with a wide range of micro- and macro-parasites. Wild animals' T cells are central to the effectiveness of their adaptive immune response in ameliorating the effect of these infections. Here, we have investigated the T-cell receptor (TCR) repertoire of wild mice to investigate how it varies in animals of different ages and sex and from different sites.",2026
41853277,Distinct landscapes of T-cell immunity and TCR repertoire between sepsis and pre-septic high-risk states.,"Sepsis remains a leading cause of in-hospital mortality worldwide. In recognition of its substantial morbidity and mortality even with optimal treatment, the World Health Organization has declared sepsis a global health priority. The immunoregulatory mechanisms in sepsis are highly complex, and the immune status during the disease course is closely associated with both short- and long-term patient outcomes, making early recognition and intervention critical for survival. While single-cell RNA sequencing (scRNA-seq) has been widely applied to decipher innate immune responses in sepsis patients, in-depth characterization of T lymphocyte subsets remains relatively limited. Urosepsis is a common complication of urinary tract stones. Although clinical studies have identified several risk factors for urosepsis, the immunological alterations in high-risk individuals are poorly understood. Here, we employed single-cell transcriptomics to investigate T-cell immunological changes in high-risk urosepsis patients and septic patients, complemented by single-cell T cell receptor (TCR) sequencing (scTCR-seq) to profile the peripheral TCR repertoire in these two pathological states. Our analysis revealed that, compared to non-high-risk controls, septic patients exhibited features of T cell exhaustion across multiple subsets, whereas high-risk individuals showed signs of enhanced T cell-mediated adaptive immunity. Notably, we identified a distinct CD4",2026
41853256,Quantitative evaluation of T-cell repertoire restoration following hematopoietic stem cell transplantation in patients with and without graft versus host disease.,"Acute graft-versus-host disease (aGVHD) is a major cause of mortality following hematopoietic stem cell transplantation (HSCT). Its pathogenesis is primarily driven by alloimmune T cells, which recognize host tissues as foreign. A deeper characterization of the T cell receptor (TCR) repertoires in patients with aGVHD could provide critical insights into the disease's mechanisms and identify potential predictive biomarkers.",2026
41847847,Strain-level antigen variation facilitates immune evasion in Bacteroides thetaiotaomicron.,"The T cell receptor (TCR) repertoire of intestinal CD4+ T cells is enriched for specificity towards microbiome-encoded epitopes shared among many microbiome members, providing broad microbial reactivity from a limited pool of cells. These cells actively coordinate mutualistic host-microbiome interactions, yet many epitopes are shared between gut symbionts and closely related pathobionts and pathogens. Given the disparate impacts of these agents on host health, intestinal CD4+ T cells must maintain strain-level discriminatory power to ensure protective immunity while preventing inappropriate responses against symbionts. However, to date, the mechanisms by which this occurs have remained enigmatic. To interrogate this, we leveraged BθOM mice that express a transgenic TCR specific for a BT4295-encoded epitope in B. thetaiotaomicron. While many B. thetaiotaomicron strains potently activated BθOM CD4+ T cells in vitro, strain dnLKV9 escaped recognition. Bioinformatic analyses uncovered two BT4295 homologs in B. thetaiotaomicron-dnLKV9, with each homolog harboring sequence modifications relative to strain VPI-5482, specifically, a premature stop codon, and a T548S substitution within the epitope. Reconstruction of these variants in B. thetaiotaomicron-VPI-5482ΔBT4295 conferred evasion from BθOM CD4+ T cells in vitro to this otherwise permissive strain. Adoptive transfer of BθOM CD4+ T cells to gnotobiotic RAG1-/- colonized with B. thetaiotaomicron harboring these variant BT4295 forms verified the sufficiency of these antigen modifications for evasion of BθOM CD4+ T cells. Collectively, these data uncover the existence of strain-level immune evasion in B. thetaiotaomicron and reveal a mechanism whereby strains evade recognition by CD4+ T cells, facilitating strain-level discrimination in responsiveness to the microbiome.",2026
41834523,Differences in Shared T Cell receptor α Repertoire Associated with Recognition of Viral Antigens.,"Despite the high diversity of the αβ T cell receptor (TCR), sharing of identical TCR chains between individuals is common. This shared repertoire consists mainly of chains with few non-germline nucleotide additions. Many of these chains recognize conserved viral peptides, but it is unclear whether the number of nucleotide additions is similar regardless of specificity.",2026
41804231,Single Cell Multi-Omics Revealing the Important Role of MR1 Mediated MAIT Cells in Maintaining Rejection for Liver Transplantation.,"Mucosal-associated invariant T (MAIT) cells, representing one of the most abundant subsets of unconventional T cells, have been shown to play a significant role in regulating immune responses. However, their immunoregulatory roles in the context of liver transplantation (LT) immunity remain largely undefined. To address this, we conducted single-cell RNA/TCR sequencing, flow cytometry, and multiplex immunohistochemical (mIHC) assays to identify the proportion and characteristics of CD8+ MAIT cells in humans and mice following liver transplantation. We found that CD8+ MAIT cells were prominently represented in the single-cell CD8 profiles of human transplanted livers, demonstrating strong signalling associations with macrophages, whilst the fractional populations of MAIT1 and MAIT17 were distinctly clustered. In parallel, the proportion of CD8+ MAIT cells was significantly elevated in mouse LT models, revealing a dynamic trend where percentages increased at 1 and 2 weeks post-transplant, peaking at 3 weeks. Furthermore, using established MR1 knockout (MR1KO) LT mice, we observed that mice lacking MAIT cells exhibited milder rejection responses, indicating that MR1 mediates rejection by influencing the remodelling of the TCR repertoire after transplantation. Collectively, our study reveals that MAIT cells play a critical role in LT rejection, as MR1KO alleviated inflammatory responses and mitigated rejection via TCR repertoire remodelling. By mapping the dynamic changes of MAIT cells throughout the rejection process, these findings lay the groundwork for further investigations into the role of these cells in transplant immunity.",2026
41787696,Single-cell level characterization of B cell depletion and repopulation following rituximab in systemic lupus erythematosus.,"Rituximab, a CD20",2026
41785014,Pre-existing TCR clones drive major pathological responses in HNSCC patients treated with dual immune checkpoint inhibitors.,"Immune checkpoint inhibitors (ICI) elicit variable responses in head and neck squamous cell carcinoma (HNSCC), yet mechanisms driving major pathological responses (MPR) remain poorly defined. We sought to evaluate longitudinal CD8 T-cell repertoire evolution to identify determinants of MPR.",2026
41775434,"TCR sequencing in cancer immunology and immunotherapy: what, when, where, why, and how.","T-cell receptors (TCRs) are generated through somatic recombination of variable (V), diversity (D), and joining (J) gene segments, resulting in an extraordinarily diverse receptor repertoire that is essential for immune surveillance and host defense. TCR sequencing (TCR-seq) has emerged as a powerful tool for comprehensive characterization of the adaptive immune repertoire, offering deep insights into T-cell diversity, antigen specificity, and clonal dynamics.TCR-seq enables the tracking of T-cell clones across both temporal and spatial dimensions. From a longitudinal perspective, it allows for the monitoring of clonal dynamics before and after therapeutic interventions or over the course of disease progression. Temporal shifts in clonal composition can reveal the persistence, contraction, or expansion of specific T-cell populations, thereby providing valuable information on the durability of immune responses and the efficacy of treatments. From a spatial standpoint, TCR-seq facilitates comparative analyses of repertoires across distinct anatomical compartments, including tumors, blood, and lymph nodes. Such analyses yield insights into tissue-specific immune responses, T-cell trafficking, and infiltration patterns. Moreover, the ability to track antigen-specific T-cell clones enables the visualization and quantification of tumor-specific immune responses. Advances in spatial TCR-seq now integrate spatial context with clonal identity and repertoire diversity, further illuminating complex immune architecture within tissue microenvironments. Nonetheless, despite the development of various approaches for antigen specificity prediction, further advances are needed to improve their accuracy and generalizability.A wide range of TCR-seq platforms are currently available, including DNA-based and RNA-based protocols, short-read and long-read sequencing technologies, and bulk and single-cell approaches. Each method presents unique advantages in terms of resolution, throughput, cost, and biological relevance. For instance, DNA-based TCR-seq is well suited for longitudinal tracking of clonal populations, whereas RNA-based approaches are advantageous for detecting actively transcribed, antigen-responsive clones. Short-read sequencing offers high-throughput capabilities, while long-read and paired-chain sequencing provide comprehensive structural and functional information on TCRs. Additionally, computational methods, including machine learning algorithms and motif-based clustering, are increasingly employed to infer antigen specificity directly from TCR-seq data.In this review, we examine the current landscape of TCR-seq through the lenses of what, when, where, why, and how, highlighting recent technological developments and emerging applications that are shaping the field of immune repertoire analysis.",2026
41773808,Mapping malignant T-cell states and immune circuits in Sézary syndrome by single-cell analysis.,Sézary syndrome (SS) and leukaemic mycosis fungoides (MF) are aggressive cutaneous T-cell lymphomas (CTCLs) with poor prognosis and limited treatment options. Single-cell RNA sequencing (scRNA-seq) offers an opportunity to dissect malignant heterogeneity and immune dysregulation yet has been underutilized in leukaemic CTCL.,2026
